THƯ MỤC,TÊN PHIM,Số tập,Thể loại,Ghi chú,,Cách Đăng ký xem phim,
,Quái vật không gian - the predator 2018,1,,,,,
,Quý cô lừa đảo - The Hustle 2019,1,,,,,
,Quý ông thế giới ngầm - The Gentlemen 2020,1,,,,,
,Chú Chó Trung Thành - Red Dog 2011 2016,1,,,,,
,Siêu Trộm Lừng Danh Robin Hood - Robin Hood 2018,1,,,,,
,Sát thủ Anna 2019,1,,,,,
,Scary movie 2000 2001 2003 2006 2013,4,,,,,
,Shadow - Vô ảnh 2018,1,,,,,
PHIM 3,Siêu thú cuồng nộ - Rampage 2018,1,,,,,
,Siêu trộm hoàng cung - The Grand Heist 2012,1,,,,,
,Sinh vật nhân bản - Assimilate 2019,1,,,,,
,Stolen - Cướp siêu hạng 2012,1,,,,,
,Z / S / L / P Storm - Đội chống tham nhũng 2014 2016 2018 2019,4,,,,,
,Lộc Đỉnh Ký (Châu Tình Trì) - Royal Tramp 1992 1992,2,,,,,
,Tân vua hài kịch - The New King of Comedy,1,,,,,
,Tây du ký mối tình ngoại truyện - Journey To The West 2013 2017,2,,,,,
,Thần thám Địch Nhân Kiệt - Detective Dee,3,,,,,
PHIM 3,The Family - Gia Đình Mafia 2013,1,,,,,
,The room - Căn phòng cám dỗ 2019,1,,,,,
,The Thing - Quái Vật Kinh Dị 2011,1,,,,,
,Thiện ác đối đầu  - The Equalizer,2,,,,,
,Thợ săn đầu người - Hodejegerne 2011,1,,,,,
,Thử thách thần chết: giữa hai thế giới,2,,,,,
,Tiết khí sư cuối cùng - The Last Airbender,1,,,,,
PHIM 3,Tình dục là chuyện nhỏ - Sex Is Zero,2,18+,,,,
,Tòa án kiếp sau - Defending Your Life 1991,1,,,,,
,Tòa tháp chọc trời - Skyscraper 2018,1,,,,,
,Tomb Raider: Huyền thoại bắt đầu 2018,1,,,,,
,Tội ác bất dung - A Serbian Film 2010,1,,,,,
PHIM 3,Triệu kiểu chết miền viễn Tây 2014,1,,,,,
,Trò đùa tình ái - Cruel Intentions 1999,1,,,,,
,Trở về tuổi 17 - 17 again 2009,1,,,,,
,Trùng quỷ - Harbinger Down 2015,1,,,,,
PHIM 3,Tử thi của Anna Frizt - The Corpse of Anna Fritz 2015,1,,,,,
,Twin Mission - Điệp vụ song sinh,1,,,,,
,Two Days One Night 2014,1,,,,,
,Ứng dụng tử thần - Countdown 2019,1,,,,,
,Vật chủ - The Host,1,,,,,
PHIM 3,Võ đài đẫm máu - Lady Bloodfight 2016,1,,,,,
,Vua nói dối - Big Fat Liar 2002,1,,,,,
,Vùng đất linh hồn - Spirited Away 2001,1,,,,,
,Winchester 2018,1,,,,,
https://drive google com/drive/folders/1IARyrW_gzySUXHYSvH4P36mfUHNMENsY?usp=sharing,Yêu miêu truyện - Legend of the Demon Cat 2017,1,,,4K WebDL,,
PHIM 3,Yêu nhầm sát thủ 2010 - Killers,1,,,,,
PHIM 4,,,,,,,
,,,,,,,
PHIM 5,7 Linh hồn của quỷ - Bedazzled 2000,1,"Hành động, Kịch tính",,,,
https://drive google com/drive/folders/1x82ff8oLhpKg-ncgc1-sZmAV6HrFiRQ1?usp=sharing,50 Sắc thái - Fifty Shades 2015 2017 2018,3,"18+, Tâm lý, Lãng mạn",,,,
152,Anh chàng đóng giày - The Cobbler 2014,1,,,,,
,Back To The Future - Trở về tương lai 1985 1989 1990,3,"Viễn tưởng, Hành động",,,,
,Bí ẩn hành tinh chết - Prometheus 2012,1,"Viễn tưởng, Hành động",,,,
,Bí Ẩn Vùng Ngoại Ô - Suburbicon 2017,1,,,,,
,Bản Đồ Định Mệnh - The Adjustment Bureau 2011,1,,,,,
,Bí ấn hành tinh chết 2 - Quái vật không gian: Khế ước - Alien Covenant 2017,1,"Viễn tưởng, Hành động",,,,
,Biên niên sử Giáng sinh - The Christmas Chronicles 2018,1,,,,,
,Bố Già Huyền Thoại - Black Mass 2015,1,,,,,
PHIM 5,Biên niên sử Narnia - The Chronicles Of Narnia 2005 2008 2010,3,,,,,
,Cẩm y vệ 2010 - 14 Blades,1,,,,,
,Chàng Sở Khanh Tốt Số - Don Jon 2013,1,,,,,
,Chiến binh ngoài hành tinh - Max steel 2016,1,,,,,
,Chiến Tranh Giữa Các Vì Sao - Star Wars 1999 2002 2005 1977 1980 1983 2015 2017 2019,7,,,,,
,Chiến tranh giữa các Vì Sao: ngoại truyện - Rogue One : A Star Wars Story 2016,1,,,,,
PHIM 5,Chú gấu Ted,2,,,,,
,Chuột siêu quậy - Stuart Little,2,,,,,
,Chuyến Đi Siêu Quậy - Bad Trip 2020,1,,,,,
,Chuyện Giáng Sinh - A Christmas Story 1983,1,,,,,
,Con Tin - Bel Canto 2018,1,,,,,
,Cung thủ siêu phàm - The War Of Arrows 2011,1,,,,,
PHIM 5,Cuộc chiến luân hồi - Edge of Tomorrow 2014,1,,,,,
,Cuộc chiến ở Terra - Battle for Terra 2007,1,,,,,
,Đã Đến Lúc - About Time 2013,1,,,,,
,Đại bàng Eddie - Eddie the Eagle 2016,1,,,,,
,Đám Cưới Định Mệnh - Destination Wedding 2018,1,,,,,
,Điệp vụ Boston - The Departed 2006,1,,,,,
,Cuộc Đua Lịch Sử - Ford v Ferrari 2019,1,,,4K Bluray,,
,Danh Ca Huyền Thoại - Rocketman 2019,1,,,,,
,Điệp vụ kép - Inside Man 2006 2019,2,,,,,
PHIM 5,Đổi mặt - Face off 1997,1,,,,,
,Gia Tộc Huyền Bí - Beautiful Creatures 2013,1,,,,,
,Hai vị Giáo hoàng - The Two Popes 2019,1,,,,,
,Hãy Nói Đồng Ý - Just Say Yes 2021,1,,,,,
,Hoắc Nguyên Giáp 2006,1,,,,,
,Huyền Thoại Robin Hood - Robin Hood 2010,1,,,,,
,Huyền Thoại Rồng Đen: Scorpion Trả Thù - Mortal Kombat Legends: Scorpion's Revenge 2020,1,,chưa có sub,4K Bluray,,
,Kẻ Báo Thù - Vengeance: A Love Story 2017,1,,,,,
,Kẻ Xuyên Không - Looper 2012,1,,,4K Bluray,,
PHIM 5,Kế hoạch liều lĩnh - Keanu 2016,1,,,,,
,Khát vọng tuổi trẻ - Testament of Youth 2014,1,,,,,
,Không Có Ngày Mai - Before I Fall 2017,1,,,,,
,Không dấu vết - Backtrace 2018,1,,,,,
,Khu Vườn Huyền Bí - The Secret Garden 2020,1,,,,,
,Quyền Lực Thứ 5 - The Fifth Estate 2013,1,,,,,
,Khương Tử Nha: Nhất Chiến Phong Thần - Legend of Deification 2020,1,,,,,
,Kỷ Vật - The Souvenir 2019,1,,,,,
PHIM 5,Mã Nguồn / Mật Mã Gốc - Source Code 2011,1,,,,,
,Mãnh hổ Tô Khất Nhi - True Legend 2010,1,,,,,
,Mặt nạ Zoro 1988,1,,,,,
,Mật Mã Da Vinci - The Da Vinci Code 2006,1,,,,,
,Nâng cấp - Upgrade 2018,1,,,,,
,Ngọa hổ tàng long - Crouching Tiger Hidden Dragon 2000 2016,2,,,,,
,Ngoài vòng pháp luật - The Outlaws 2017,1,,,,,
,Ngón tay thứ 6 - Svaha The Sixth Finger 2019,1,,,,,
,Ngọt đắng cuộc đời - A Bittersweet Life 2005,1,,,,,
PHIM 5,Ngôi nhà của kẻ sát nhân - The House That Jack Built 2018,1,,,,,
,Nguy cơ tiến hóa / Sự tiến hóa - Evolution 2001,1,,,,,
,Người giải mã - The Imitation Game 2014,1,,,,,
,Người Hobbit - The Hobbit 2012 2013 2014,3,,,,,
,Người Nhân Tạo / Phòng Thí Nghiệm Bí Mật - Morgan 2016,1,,,,,
,Người về từ Sao Hỏa - The Martian 2015,1,,,,,
PHIM 5,Ninja báo thù - Ninja Assassin 2009,1,,,,,
,Ninja Kids - Ninja Loạn Thị 2011,1,,,,,
,Old boy 2013,1,,,,,
,Phi Công Tỷ Phú - The Aviator 2004,1,,,,,
,Đám cưới nhớ đời - Palm springs 2020,1,,,,,
,Phi vụ rắc rối - Meet dave 2008,1,,,,,
PHIM 5,Phú quý liệt xa - The Millionaires  Express 1986,1,,,,,
,Phù thủy học đường - The Craft 1996 2020,2,,,,,
,Pixels - Đại Chiến Pixels 2015,1,,,,,
,Quái xế Baby - Baby Driver 2017,1,,,,,
,Quán trọ thần tài 2011,1,,,,,
PHIM 5,Quý bà điệp viên - Spy 2015,1,,,,,
,Quý Cô Gloria Bell / Gái già phố thị - Gloria Bell 2018,1,,,,,
,Sát thủ máu lạnh - The Iceman 2012,1,,,,,
,Quý Ông Đa Tài - The Talented Mr. Ripley 1999,1,,,,,
,Quyết đấu - Undisputed 2002 2006 2010,3,,,,,
,Red CIA - Tái xuất 2010 2013,2,"Hài hước, Hành động",,,,
,Rise of the Legend - Hoàng Phi Hồng: Bí Ẩn Một Huyền Thoại 2014,1,,,,,
,Rurouni Kenshin - Lãng khách Kenshin 2012 2014 2014 2021 2021,6,,,,,
,Siêu xạ thủ - The Sniper 2009,1,,,,,
,Sự Trở Lại Của Jay và Silent - Jay and Silent Bob Reboot 2019,1,,Không tìm được sub,,,
PHIM 5,Người lai - Splice 2009,1,,,,,
,Sinh Viên Siêu Quậy - Everybody Wants Some 2016,1,,Không tìm được sub,,,
,Sứ mệnh nội gián - Line Walker 2016 2019,2,,,,,
,Tài Xế Bất Đắc Dĩ - Stuber 2019,1,,,4K Bluray,,
,Tam Giác Quỷ - Triangle 2009,1,,,,,
,Tân Phong Thần: Na Tra Trùng Sinh 2021,1,,Mới,,,
,Thảm Họa Los Angeles - Battle: Los Angeles 2011,1,,,,,
,Thánh bài - God of Gamblers 1989 1991 1991,3,,,,,
PHIM 5,Thành phố tội ác - Asura The City of Madness 2016,1,,,,,
,Thần Chết - Death Wish 2018,1,,,,,
,Thân phận đặc biệt - Special ID 2013,1,,,,,
,The boy - Cậu bé ma 2016 2020,2,,,,,
,The Extraordinary Adventures of Adèle Blanc-Sec 2010,1,,,,,
,The Family Man - Người Đàn Ông Của Gia Đình 2000,1,,,,,
PHIM 5,Tứ đại danh bổ - The Four 2012 2013 2014,3,,,,,
,The Three Musketeers - 3 chàng ngự lâm quân 2011,1,,,,,
,Thế chiến Z - World War Z 2013,1,,,,,
,Trước khi đi xa - Before We Go 2014,1,,,,,
,Thiên Tài - Genius 2016,1,,Ko kiếm được sub,,,
,Tinh Võ Anh Hùng - Fist of Legend 1994,1,,,,,
,Tình Yêu Và Quái Vật - Love And Monsters 2020,1,,,4K Bluray,,
,Chuyến tàu sinh tử - Train to Busan 2016 2020,2,,,,,
PHIM 5,Tom & Jerry: Quậy Tung New York 2021,1,,,4K WebDL,,
,Trận Chiến Ánh Sáng - The Current War 2019,1,,Ko kiếm được sub,,,
,Trợ Lý Yêu - Set It Up 2018,1,,,,,
,Sự trở lại của Trần Chân - The Return Of Chen Zhen 2010,1,,,,,
,Vệ Sĩ Giả Mạo - Fake Bodyguard 2021,1,,Mới,,,
,Vết cắn ma quỷ - Bite 2015,1,,Ko kiếm được sub,,,
,Vòng Quanh Thế Giới - The Mercy 2018,1,,,,,
,Vùng Chiến Sự Hiểm Nguy - Outside the Wire 2021,1,,,4K WebDL,,
,Yên Xích Hà Truyện: Tình Mê Lan Nhược Tự - Yan Chixia Legend Lanruo Temple 2020,1,,,,,
,"Yêu Điên Dại - Crazy, Stupid, Love 2011",1,,,,,
https://drive google com/drive/folders/1x82ff8oLhpKg-ncgc1-sZmAV6HrFiRQ1?usp=sharing,Yêu nhầm sếp bự - Long shot 2019,1,,,,,
PHIM 5,You Don't Mess With The Zohan - Đừng Nhờn Với Zohan 2008,1,,,,,
PHIM 6,3 chàng ngốc - 3 Idiots 2009,1,,,,,
https://drive google com/drive/folders/1-2L27X6R16z-vWXgzuLPaV7H9xlhHuGR?usp=sharing,Ác quỷ Dracula - Dracula Untold 2014,1,,,,,
151,Bảy Tay Súng Huyền Thoại - The Magnificent Seven 2016,1,,,,,
,21 Cây cầu - 21 Bridges 2019,1,,,4K Bluray,,
,Ác Quỷ Đối Đầu - Deliver Us From Evil 2020,1,,,,,
,Bạo Loạn - Detroit 2017,1,,,,,
,Bí mật trái đất diệt vong - Oblivion 2013,1,,,,,
,Biệt đội Big Hero 6 - Big Hero 6 2014,1,,,,,
,Biệt đội cảm tử - Suicide Squad 2016 2021,2,,,,,
,Bình Minh Đỏ - Red Dawn 2012,1,,,,,
PHIM 6,Bố già sát thủ - Blood Father 2016,1,,,,,
,Bộ Ba Từ Địa Ngục - Three from Hell 2019,1,,,,,
,Bộ tứ siêu đẳng - Fantastic Four 2005 2007,2,,,,,
,Bộ tứ siêu đẳng - Fantastic Four 2015,1,,,,,
,Brave - Công chúa tóc xù 2012,1,,,,,
,Bước Đi Thế Kỷ - The Walk 2015,1,,,,,
,Cánh Sát Da Màu / Đen và Xanh - Black and Blue 2019,1,,,,,
,Cặp đôi hoàn cảnh - Hot Pursuit 2015,1,,,,,
,Cầu được ước thấy - Absolutely Anything 2015,1,,,,,
,Cheo leo vách núi - Cliffhanger 1993,1,,,,,
,Chiến Dịch Diều Hâu - Black Hawk Down 2001,1,,,,,
,Chiến dịch sinh tử - Argo 2012,1,,,,,
PHIM 6,Chiến lang - Wolf Warriors 2015 2017,2,,,,,
,Chuyện gì xảy ra với Thứ 2 - What Happened to Monday 2017,1,,,,,
,"Chuyến phiêu lưu của Jim cúc quần, Lukas và Đầu máy hơi nước - Jim Button And Luke The Engine Driver 2018",1,,,,,
,Chuyến Tàu Băng Giá - Snowpiercer 2013,1,,,,,
,Cô Giáo Lắm Chiêu - Bad Teacher 2011,1,,,,,
,Cộng sự bất đắc dĩ - Confidential Assignment 2017,1,,,,,
,Cộng sự hổ báo - War Dogs 2016,1,,,,,
,Cuộc chiến khốc liệt - War 2007,1,,,,,
,Cuộc Di Tản Dunkirk - Dunkirk 2017,1,,,,,
PHIM 6,Cuộc đua tử thần - Death Race 2008 2010,2,,,,,
,Cuộc Thi Ca Khúc Truyền Hình Eurovision: Câu Chuyện Về Fire Saga - Eurovision Song Contest The Story of Fire Saga 2020,1,,,,,
,Cướp siêu đẳng - The Con Artists 2014,1,,,,,
,Dân Chơi Kiểu Úc - A Few Best Men 2011,1,,,,,
,Dị Biệt - Divergent / Insurgent / Allegiant 2014 2015 2016,3,,,,,
,Đầu Gấu Bắc Cực - Norm of the North 2016,1,,,,,
,Điệp vụ tam giác vàng - Operation Mekong 2016,1,,,,,
,Nước Mắt Sát Thủ - Crying Freeman 1995,1,,,,,
,Điệp vụ Valkyrie - Valkyrie 2008,1,,,,,
,Đỉnh Everest - Everest 2015,1,,,,,
,Phép Màu - Breakthrough 2019,1,,,,,
,Đội bóng thiếu lâm - Shaolin Soccer 2001,1,,,,,
PHIM 6,Đứa con thứ 7 - Seventh son 2014,1,,,,,
,Đường Đời - Boyz N The Hood 1991,1,,,,,
,Emma - Emma 2020,1,,,,,
,Enders Game - Cuộc đấu của Ender,1,,,,,
,Europe 2016 (phim tài liệu),1,,không có sub,,,
,Exodus: Cuộc chiến chống Pha-ra-ông - Exodus: Gods And Kings 2014,1,,,,,
,Final Destination - Đích Đến Cuối Cùng / Đích đến tử thần 2000 2003 2006 2009 2011,5,,,,,
,Găng tơ tái xuất - Unstoppable 2018,1,,,,,
,Giai Điệu Hạnh Phúc - The Sound of Music 1965,1,,,,,
,Giai Điệu Hạnh Phúc! - Mamma Mia! 2008 2018,2,,,,,
,Giải mã mê cung - The Maze Runner 2014 2015 2018,3,,,,,
,Giờ Lành - The Finest Hours 2016,1,,,,,
,Goosebumps - Câu Chuyện Lúc Nửa Đêm,2,,,,,
,Hacker Mũ Đen - Blackhat 2015,1,,,,,
PHIM 6,Hàng xóm ôn dịch - Neighbors 2014 2016,2,,,,,
,Hành Trình - Double World 2019,1,,,,,
,Hành Trình Django - Django Unchained 2012,1,,,,,
,Hỏa ngục - Inferno 2016,1,,,,,
,Hung Thần Đại Dương - 47 Meters Down 2017 2019,2,,,,,
,Huyền thoại Heracles - Hercules 2014,1,,,,,
,Huyết chiến / Nguy thành tiêm bá - Call of Heroes,1,,,,,
,Jungle - Hiểm Họa Rừng Chết 2017,1,,,,,
,Kẻ đánh cắp giấc mơ - Inception 2010,1,,,,,
PHIM 6,KungFu Yoga 2017,1,,,,,
,Kẻ Lừa Đảo - Matchstick Men 2003,1,,,,,
,Kẻ Rỗng Hồn - The Empty Man 2020,1,,,,,
,Khách Sạn Hoa Cúc Vàng Nhiệt Đới - The Second Best Exotic Marigold Hotel 2015,1,,,,,
,Kỳ nghỉ bá đạo - Vacation 2015,1,,,,,
,Kỷ Nguyên Elysium - Elysium 2013,1,,,,,
,Lần Theo Dấu Vết - Prisoners 2013,1,,,,,
,Lễ Hội Đẫm Máu - Midsommar 2019,1,,,,,
,Liên minh sát thủ - Allied 2016,1,,,,,
,Linh Hồn Đêm Giáng Sinh - The Spirit of Christmas 2015,1,,,,,
,Lò Đào Tạo Quái Vật - Monsters University 2013,1,,,,,
,Long môn phi giáp - Flying Swords of Dragon Gate 2011,1,,,,,
PHIM 6,Luân Đôn thất thủ - London Has Fallen 2016,1,,,,,
,Ma tốc độ - Ghost Rider 2007 2011,2,,,,,
,Mái Ấm Lạ Kỳ Của Cô Peregrine - Miss Peregrine's Home for Peculiar Children 2016,1,,,,,
,Mật ngọt chết người / Sát thủ đi học - Barely Lethal 2015,1,,,,,
,Một Đời Ẩn Giấu - A Hidden Life 2019,1,,,,,
,Xe Tải Quái Vật - Monster Trucks 2016,1,,,,,
,Một Ngày Đẹp Đẽ Trong Khu Phố - A Beautiful Day in the Neighborhood 2019,1,,,,,
,Một Tâm Hồn Đẹp - A Beautiful Mind 2001,1,,,,,
,Mỹ nhân ngư - Mermaid 2016,1,,,,,
PHIM 6,My Beloved Bodyguard - Lão vệ sĩ 2016,1,,,,,
,Người du hành - Passengers 2016,1,,,,,
,Người Hùng Báo Thù - Watchmen 2009,1,,,,,
,Người trở về từ cõi chết - The Revenant 2015,1,,,,,
,Người về từ cõi chết - The Revenant 2009,1,,,,,
,Nữ Biên Kịch - Their Finest 2017,1,,chưa sub,,,
,Percy Jackson - Kẻ cắp tia chớp 2010 2013,2,,,,,
,Phi vụ hạt dẻ - The Nut Job 2014 2017,2,,,,,
PHIM 6,Radius - Bán kính tử thần 2017,1,,,,,
,Rạn San Hô Cá Heo - Dolphin Reef 2020,1,Phim Tài liệu,,4K WebDL,,
,Raya Và Rồng Thần Cuối Cùng 2021,1,,,,,
,Riddick - Thủ lĩnh bóng đêm  2000 2004 2013,3,,,,,
,Sát Thủ Kiểu Mỹ - American Assassin 2017,1,,,,,
,Sát thủ vô cùng cực 2019,1,,,,,
,Sắc đẹp vĩnh cửu 2015 - The Age Of Adaline 2015,1,,,,,
,Seondal: Người bán dòng sông Bộ tứ lừa đảo 2016,1,,,,,
,Siêu Lợn - Okja 2017,1,,,,,
,Tập Làm Người Xấu - El Camino: A Breaking Bad Movie 2019,1,,,,,
PHIM 6,Thảm họa giàn khoan - Deepwater Horizon 2016,1,,,,,
,Thảm họa thiên thạch - Greenland 2020,1,,,,,
,Thần Thoại - The Myth 2005,1,,,,,
,Thợ Săn: Cuộc Chiến Mùa Đông - The Huntsman Winters War 2016,1,,,,,
,Thời khắc sinh tử - In time 2011,1,,,,,
,Thu Nhỏ - Downsizing 2017,1,,,,,
,Tiếng Vọng Từ Địa Ngục - The Voices 2020,1,,chưa có sub việt,,,
,Trái Tim Dũng Cảm - Braveheart 1995,1,,,,,
,Thợ Săn Thành Phố - City Hunter 2018 (France),1,,,,,
,Trân Châu Cảng - Pearl Harbor 2001,1,,,,,
,Trận chiến Midway - Midway 2019,1,,,,,
PHIM 6,Trở Về Trái Đất - After Earth 2013,1,,,,,
,Trùm bài / Lá bài số phận - Wild Card 2015,1,,,,,
,Truy Tìm Ký Ức - Total Recall 2012,1,,,,,
,Tyler Rake: Nhiệm Vụ Giải Cứu - Extraction 2020,1,,,,,
,Vệ sĩ bất đắc dĩ - The Pacifier 2005,1,,,,,
,Thiên Thần Và Ác Quỷ - Angels & Demons 2009,1,,,,,
,Victor Frankenstein 2015,1,,,,,
,Vỏ bọc ma - Ghost in the Shell 2017,1,,,,,
https://drive google com/drive/folders/1-2L27X6R16z-vWXgzuLPaV7H9xlhHuGR?usp=sharing,Vương quốc xe hơi - Cars  2006 2011 2017,3,,,,,
PHIM 6,Xì Trum -  The Smurfs 2011 2013 2017,3,,,,,
PHIM 7,12 con giáp - Chinese Zodiac 2012,1,,,,,
https://drive google com/drive/folders/1dYB8P1T8xA6Gqg2mauc01t4vUmmNyho_?usp=sharing,American Beauty 1999 - Vẻ đẹp Mỹ,1,,,,,
165,Anh em nhà Grimsby - The Brothers Grimsby 2016,1,,,,,
,Anh chàng may mắn Cyrus - Cyrus 2010,1,,,,,
,Bảy Viên Ngọc Rồng Siêu Cấp: Huyền Thoại Broly Dragon - Dragon Ball Super Movie: Broly 2018,1,,,,,
,Bảy Viên Ngọc Rồng Z: Chiến Binh Bất Tử - Dragon Ball Z: Dead Zone 1989,1,,,,,
,Bảy Viên Ngọc Rồng: Phim Sự Hồi Sinh Của Frieza - Dragon Ball Z: Resurrection F 2015,1,,,,,
,Bằng Chứng Thể Xác - Body Of Evidence 1992,1,,,,,
,Beverly Hills Ninja - Ninja Béo Ù 1997,1,,,,,
,Bí mật chết chóc - Pandorum 2009,1,,,,,
,Bí Mật Tội Lỗi - Kill Mobile 2018,1,,,4K WebDL,,
,Biệt Đội Săn Ma - Ghostbusters 1984 2016 2021,3,,,,,
,Blue Streak - Kẻ Trộm Kim Cương 1999,1,,,,,
PHIM 7,Bồng bột tuổi dậy thì - Love Rosie 2014,1,,,,,
,Buổi Phát Sóng Kinh Hoàng - No Escape / Follow Me 2020,1,,,,,
,Bầu Trời Tháng Mười / Những cậu bé hỏa tiễn - October Sky 1999,1,,,,,
,Cảm Hứng / Động lực - Grease 1978,1,,,,,
,Cậu bé karate - The Karate Kid 2010,1,,,,,
,Câu chuyện trò chơi - Toy Story 1995 1999 2010 2019,4,,,,,
,Chỉ Vài Người Tốt - A Few Good Men 1992,1,,,,,
,Chiến Binh Đơn Độc / Sống sót - Lone Survivor 2013,1,,,,,
,Chiến Hạm Thủ Lĩnh - Greyhound 2020,1,,,,,
,Chù mèo đi hia - Puss In Boots 2011,1,,,,,
PHIM 7,Chú voi biết bay - Dumbo 2019,1,,,,,
,Chúng ta - Us 2019,1,,,,,
,Chuyện chàng cơ bắp - Champion 2018,1,,,,,
,Chuyện kinh dị lúc nửa đêm - Scary Stories to Tell in the Dark 2019,1,,,,,
,Chuyện ngày xưa ở Hollywood - Once Upon a Time in Hollywood 2019,1,,,,,
,Chứng Nhân Hoàn Hảo - Innocent Witness 2019,1,,,,,
PHIM 7,Cô Vợ Hờ - Just Go With It 2011,1,,,,,
,Công Viên Diệu Kỳ - Wonder Park 2019,1,,,,,
,Công Viên Kỷ Jura - Jurassic Park 1993 1997 2001,3,,,,,
,Của quý huyền thoại - A Tale of Legendary Libido 2008,1,,,,,
,Cuộc Chiến Chống Xâm Lăng - Occupation 2018,1,,,,,
,Cuộc Chiến Ngầm - The Merciless 2017,1,,,,,
,Cuộc Chiến Vì Con - Vanquish 2021,1,,,,,
,Cuộc đời phi thường của chú chó Enzo - The Art of Racing in the Rain 2019,1,,,,,
,Cuộc giải cứu hang Tham Luang - The Cave 2019,1,,,,,
,Cuộc Hội Ngộ Diệu Kỳ - Coco 2017,1,,,,,
,Cuồng Nộ - Fury 2014,1,,,,,
PHIM 7,Diệp viên xxx: Sự trở lại của Xander - xXx Return of Xander Cage 2017,1,,,,,
,Dora Và Thành Phố Vàng Mất Tích - Dora and the Lost City of Gold 2019,1,,,,,
,Doremon - Stand by Me - 2014 2020 ,2,,,,,
,Dựa vào tôi - Lean On Me 1989,1,,,,,
,Đảo kinh hoàng - Fantasy Island 2020,1,,,,,
,Đảo Kinh Hoàng - Shutter Island 2010,1,,,,,
,Đẳng cấp thú cưng - The Secret Life of Pets 2016 2019,2,,,,,
PHIM 7,Địa đạo cá sấu tử thần - Crawl 2019,1,,,,,
,Điệp Viên Ẩn Danh - Spies in Disguise 2019,1,,,,,
,Đội cứu hộ bãi biển - Baywatch 2017,1,,,,,
,Địa đạo cá sấu tử thần - Crawl 2019,1,,,,,
,Điệp Viên Ẩn Danh - Spies in Disguise 2019,1,,,,,
,Đổ Vỡ - Crash 1996,1,,,,,
PHIM 7,Đội cứu hộ bãi biển - Baywatch 2017,1,,,,,
,Đũa mốc chòi mâm son - Shes out of my league 2010,1,,,,,
,Đường Hầm Tội Ác 2019 - At the End of the Tunnel,1,,,,,
,Gia đình Addams - The Addams Family 2019 2021,2,,,,,
,Gia Đình Bá Đạo - Were the Millers 2013,1,,,,,
,Giáng sinh năm ấy - Last Christmas 2019,1,,,,,
,Giờ cao điểm - Rush hour 1998 2001 2007,3,,,,,
PHIM 7,Hài Đỏ Và Bảy Chú Lùn - Red Shoes and the Seven Dwarfs 2019,1,,,,,
,Hàm cá mập - Jaws 1975 1978,2,,,,,
,Hành Trình Của Chú Chó Bailey - A Dog's Journey 2019,1,,,,,
,Hậu chiến - The Aftermath 2019,1,,,,,
,Hoa mộc lan - Mulan (HoạtHình2D) 1998 2004,2,,,,,
,Hoa mộc lan - Mulan 2009,1,,,,,
,Hoa mộc lan - Mulan 2020,1,,,,,
,Hội Kín KKK - BlacKkKlansman 2018,1,,,,,
,I Frankenstein - Tôi là Frankenstein 2014,1,,,,,
PHIM 7,Kẻ du hành trên mây - The Aeronauts 2019,1,,,,,
,Kẻ Xâm Nhập Bí Ẩn - The Intruder 2019,1,,,,,
,Không lối thoát - No Escape 2015,1,,,,,
,Không tặc - Non Stop 2014,1,,,,,
,Kỷ băng hà - Ice Age 2002 2006 2009 2012 2016 2022,6,,,,,
,Kỳ Nghỉ Tồi Tệ - Becky 2020,1,,,,,
,La Haine - Hận Thù 1995,1,,,,,
,Lawrence xứ Ả Rập - Lawrence of Arabia 1962,1,,,,,
PHIM 7,Lăn đến bên em - Rolling to You 2018,1,,,,,
,Linh Hồn Bạc - Gintama 2017,1,,,,,
,Linh Hồn Bạc 2: Luật Lệ Đặt Ra Là Để Phá Bỏ - Gintama 2 2018,1,,,,,
,Linh hồn sống - After Life 2009,1,,,,,
,Rung Chuyển - Concussion 2013,1,,,,,
,Rung Chuyển - Concussion 2015,1,,,,,
,Sát Thủ Chuyên Nghiệp - Léon: The Professional 1994,1,,,,,
,Lối Thoát Trên Không - Exit 2019,1,,,,,
,Lucy Trên Bầu Trời - Lucy in the Sky 2019,1,,,,,
,Ma búp bê - Bride of Chucky,3,,,,,
,Ma tốt nghiệp - Ghost Graduation 2012,1,,,,,
,Ma Thổi Đèn 2015 2016 - (movie lẻ),2,,,,,
,Man Of Men - Ông Bạn Găng tơ 2019,1,,,,,
PHIM 7,Mèo Mập Đi Phượt - Cats and Peachtopia 2018,1,,,,,
,Mỹ nhân ngư: Hố tử thần - The Mermaid The Lake of the Dead 2018,1,,,,,
,Năm Bước Để Yêu - Five Feet Apart 2019,1,,,,,
,Năm Chiến Hữu - Da 5 Bloods 2020,1,,,,,
,Ngày Chuột Chũi - Groundhog Day 1993,1,,,,,
,Ngày Sinh Tồn - Hostile 2018,1,,,,,
,Người bảo vệ - The Protector 2005 2013,2,,,,,
,Người dịch chuyển - Jumper 2008,1,,,,,
,Người gác đêm - Security 2017,1,,,,,
,Người Hùng Barbarian - Conan the Barbarian 2011,1,,,,,
,Người Mẹ - Mother 2017,1,,,,,
,Nhật ký bán máu - Chronicle of Blood Merchant 2015,1,,,,,
PHIM 7,Những chú chim nổi giận - The Angry Birds Movie 2016 2019,2,,,,,
,Những Chú Chó Hoàng Gia - The Queen's Corgi 2019,1,,,,,
,Những chú mèo - Cats 2019,1,,ch­ưa sub việt,,,
