THƯ MỤC,TÊN PHIM,Số tập,Thể loại,Ghi chú,,Cách Đăng ký xem phim,
,Ninja rùa - Teenage Mutant Ninja Turtles 2014 2016,2,"Phiêu lưu, Hành động",,,,
,Nữ thần chiến binh - Wonder Woman 2017 2020,2,"Hành động, Viễn tưởng",,4K WebDL,,
,Ở nhà một mình - Home alone 1990 1992 1997 2002 2021,5,"Hài hước, Tình cảm",,,,
,Pacific Rim - Đại chiến Thái bình dương,2,"Hành động, Viễn tưởng",,,,
,Ác quỷ ma sơ - The nun 2018,1,"Kinh dị, Hành động",,4K Bluray,,
,Ám ảnh kinh hoàng - The Conjuring 2013 2016 2021,3,"Kinh dị, Hành động",,,,
PHIM 1,Insidious - Quỷ quyệt 2010 2013 2015 2018,4,"Kinh dị, Hành động",,,,
,Mama 2013,1,"Kinh dị, Hành động",,,,
,Ma cây - Evil dead 2013,1,"Kinh dị, Phiêu lưu",,,,
,Phù thủy tập sự - The Sorcerers Apprentice 2010,1,"Hành động, Thần thoại",,,,
,Phù thủy tối thượng - Doctor Strange,1,"Hành động, Viễn tưởng",,4K Bluray,,
,Quá nhanh quá nguy hiểm - The Fast and the Furious 2001 2003 2006 2009 2011 2013 2015 2017 2019 2021,10,"Hành động, Phiêu lưu",,4K Bluray,,
PHIM 1,Quái vật Godzilla - Godzilla 1998 2014 2019,3,"Hành động, Viễn tưởng",,4K Bluray 1/2,,
,Series Hành tinh khỉ - The Planet of the Apes 2011 2014 2017,3,"Hành động, Viễn tưởng",,,,
,Shang Chi Và Huyền Thoại Thập Nhẫn - Shang Chi and the Legend of the Ten Rings 2021,1,"Hành động, Viễn tưởng",,4K Bluray,,
,Siêu bão địa cầu - Geostorm 2017,1,"Thảm họa, Hành động",,,,
,Siêu nhân cái bang - Hancock 2011,1,"Hành động, Thần thoại",,4K Bluray,,
,Sinh vật huyền bí - Fantastic Beasts time trước HPotter,2,"Hành động, Thần thoại",,,,
